Player,Age,Team,Pos,G,GS,MP,FG,FGA,FGPCT,FT,FTA,FTPCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Joel Embiid,29,PHI,C,39,39,33.6,11.5,21.8,0.529,10.2,11.6,0.883,2.4,8.6,11,5.6,1.2,1.7,3.8,2.9,34.7
Luka Dončić,24,DAL,PG,70,70,37.5,11.5,23.6,0.487,6.8,8.7,0.786,0.8,8.4,9.2,9.8,1.4,0.5,4,2.1,33.9
Giannis Antetokounmpo,29,MIL,PF,73,73,35.2,11.5,18.8,0.611,7,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4
Shai Gilgeous-Alexander,25,OKC,PG,75,75,34,10.6,19.8,0.535,7.6,8.7,0.874,0.9,4.7,5.5,6.2,2,0.9,2.2,2.5,30.1
Jalen Brunson,27,NYK,PG,77,77,35.4,10.3,21.4,0.479,5.5,6.5,0.847,0.6,3.1,3.6,6.7,0.9,0.2,2.4,1.9,28.7
Devin Booker,27,PHO,PG,68,68,36,9.4,19.2,0.492,6,6.7,0.886,0.8,3.7,4.5,6.9,0.9,0.4,2.6,3,27.1
Kevin Durant,35,PHO,PF,75,75,37.2,10,19.1,0.523,4.8,5.6,0.856,0.5,6.1,6.6,5,0.9,1.2,3.3,1.8,27.1
Jayson Tatum,25,BOS,PF,74,74,35.7,9.1,19.3,0.471,5.6,6.7,0.833,0.9,7.2,8.1,4.9,1,0.6,2.5,2,26.9
De'Aaron Fox,26,SAC,PG,74,74,35.9,9.7,20.9,0.465,4.2,5.7,0.738,0.9,3.7,4.6,5.6,2,0.4,2.6,2.6,26.6
Donovan Mitchell,27,CLE,SG,55,55,35.3,9.1,19.8,0.462,5,5.8,0.865,0.8,4.3,5.1,6.1,1.8,0.5,2.8,2.1,26.6
Stephen Curry,35,GSW,PG,74,74,32.7,8.8,19.5,0.45,4,4.4,0.923,0.5,4,4.5,5.1,0.7,0.4,2.8,1.6,26.4
Nikola Jokić,28,DEN,C,79,79,34.6,10.4,17.9,0.583,4.5,5.5,0.817,2.8,9.5,12.4,9,1.4,0.9,3,2.5,26.4
Anthony Edwards,22,MIN,SG,79,78,35.1,9.1,19.7,0.461,5.4,6.4,0.836,0.7,4.8,5.4,5.1,1.3,0.5,3.1,1.8,25.9
Tyrese Maxey,23,PHI,PG,70,70,37.5,9.1,20.3,0.45,4.7,5.4,0.868,0.5,3.2,3.7,6.2,1,0.5,1.7,2.2,25.9
LeBron James,39,LAL,PF,71,71,35.3,9.6,17.9,0.54,4.3,5.7,0.75,0.9,6.4,7.3,8.3,1.3,0.5,3.5,1.1,25.7
Trae Young,25,ATL,PG,54,54,36,8,18.7,0.43,6.4,7.5,0.855,0.4,2.3,2.8,10.8,1.3,0.2,4.4,2,25.7
Kyrie Irving,31,DAL,SG,58,58,35,9.7,19.5,0.497,3.3,3.6,0.905,0.8,4.2,5,5.2,1.3,0.5,1.8,1.9,25.6
Ja Morant,24,MEM,PG,9,9,35.3,8.9,18.9,0.471,5.8,7.1,0.813,0.7,4.9,5.6,8.1,0.8,0.6,3,2.1,25.1
Anthony Davis,30,LAL,C,76,76,35.5,9.4,16.9,0.556,5.5,6.8,0.816,3.1,9.5,12.6,3.5,1.2,2.3,2.1,2.3,24.7
